Station name,Easting,Northing,PRL_Count,BRV_Count,Closed (Y/N),Opened,Closed
Aldridge,405203,302818,1,0,N,Before study period,
Aston,407316,289711,1,1,N,Before study period,
Bickenhill,419627,284038,1,0,N,Before study period,
Billesley,409029,281369,1,1,N,Before study period,
Bilston,394543,296040,1,0,N,Before study period,
Binley,436876,278691,1,1,N,Before study period,
Bloxwich,399846,301797,1,0,N,Before study period,
Bournbrook,405167,283287,1,0,N,Before study period,
Brierley Hill,391862,287775,1,1,N,Before study period,
Canley,430542,277280,1,0,N,Before study period,
Coventry,433026,279453,2,0,N,Before study period,
Dudley,392914,291534,1,1,N,Before study period,
Erdington,411277,292051,1,0,N,Before study period,
Fallings Park,393074,300673,1,1,N,Before study period,
Foleshill,434545,282370,1,1,N,Before study period,
Haden Cross,395946,285731,1,1,N,04/08/2014,
Handsworth,404124,289867,1,1,N,Before study period,
Hay Mills,411478,284683,1,1,N,Before study period,
Highgate,407895,285024,2,0,N,Before study period,
Kings Norton,404865,279690,1,0,N,Before study period,
Ladywood,404983,286788,1,1,N,Before study period,
Northfield,401796,278838,1,1,N,Before study period,
Oldbury,399022,288393,1,1,N,Before study period,
Perry Barr,408405,293078,1,1,N,Before study period,
Sheldon,414991,286606,1,1,N,Before study period,
Smethwick,401805,288545,1,0,N,Before study period,
Solihull,414377,279802,1,1,N,Before study period,
Stourbridge,390368,284156,1,0,N,Before study period,
Sutton Coldfield,412078,296747,1,0,N,Before study period,
Tettenhall,388415,300090,1,0,N,Before study period,
Tipton,396494,292683,1,0,N,Before study period,
Walsall,400789,298890,2,0,N,Before study period,
Ward End,411296,288549,1,1,N,Before study period,
Wednesbury,398425,294968,1,0,N,Before study period,
West Bromwich,400485,291813,1,1,N,Before study period,
Willenhall,397381,299387,1,0,N,Before study period,
Wolverhampton,390873,297977,1,1,N,Before study period,
Woodgate Valley,401587,283003,1,0,N,Before study period,
